bulbasaur
Types: grass / poison
Stats:
hp: 45
atk: 49
def: 49
sp_atk: 65
sp_def: 65
spd: 45
ivysaur
Types: grass / poison
Stats:
hp: 60
atk: 62
def: 63
sp_atk: 80
sp_def: 80
spd: 60
venusaur
Types: grass / poison
Stats:
hp: 80
atk: 82
def: 83
sp_atk: 100
sp_def: 100
spd: 80
charmander
Types: fire
Stats:
hp: 39
atk: 52
def: 43
sp_atk: 60
sp_def: 50
spd: 65
charmeleon
Types: fire
Stats:
hp: 58
atk: 64
def: 58
sp_atk: 80
sp_def: 65
spd: 80
charizard
Types: fire / flying
Stats:
hp: 78
atk: 84
def: 78
sp_atk: 109
sp_def: 85
spd: 100
squirtle
Types: water
Stats:
hp: 44
atk: 48
def: 65
sp_atk: 50
sp_def: 64
spd: 43
wartortle
Types: water
Stats:
hp: 59
atk: 63
def: 80
sp_atk: 65
sp_def: 80
spd: 58
blastoise
Types: water
Stats:
hp: 79
atk: 83
def: 100
sp_atk: 85
sp_def: 105
spd: 78
caterpie
Types: bug
Stats:
hp: 45
atk: 30
def: 35
sp_atk: 20
sp_def: 20
spd: 45
metapod
Types: bug
Stats:
hp: 50
atk: 20
def: 55
sp_atk: 25
sp_def: 25
spd: 30
butterfree
Types: bug / flying
Stats:
hp: 60
atk: 45
def: 50
sp_atk: 90
sp_def: 80
spd: 70
weedle
Types: bug / poison
Stats:
hp: 40
atk: 35
def: 30
sp_atk: 20
sp_def: 20
spd: 50
kakuna
Types: bug / poison
Stats:
hp: 45
atk: 25
def: 50
sp_atk: 25
sp_def: 25
spd: 35
beedrill
Types: bug / poison
Stats:
hp: 65
atk: 90
def: 40
sp_atk: 45
sp_def: 80
spd: 75
pidgey
Types: normal / flying
Stats:
hp: 40
atk: 45
def: 40
sp_atk: 35
sp_def: 35
spd: 56
pidgeotto
Types: normal / flying
Stats:
hp: 63
atk: 60
def: 55
sp_atk: 50
sp_def: 50
spd: 71
pidgeot
Types: normal / flying
Stats:
hp: 83
atk: 80
def: 75
sp_atk: 70
sp_def: 70
spd: 101
rattata
Types: normal
Stats:
hp: 30
atk: 56
def: 35
sp_atk: 25
sp_def: 35
spd: 72
raticate
Types: normal
Stats:
hp: 55
atk: 81
def: 60
sp_atk: 50
sp_def: 70
spd: 97
spearow
Types: normal / flying
Stats:
hp: 40
atk: 60
def: 30
sp_atk: 31
sp_def: 31
spd: 70
fearow
Types: normal / flying
Stats:
hp: 65
atk: 90
def: 65
sp_atk: 61
sp_def: 61
spd: 100
ekans
Types: poison
Stats:
hp: 35
atk: 60
def: 44
sp_atk: 40
sp_def: 54
spd: 55
arbok
Types: poison
Stats:
hp: 60
atk: 95
def: 69
sp_atk: 65
sp_def: 79
spd: 80
pikachu
Types: electric
Stats:
hp: 35
atk: 55
def: 40
sp_atk: 50
sp_def: 50
spd: 90
raichu
Types: electric
Stats:
hp: 60
atk: 90
def: 55
sp_atk: 90
sp_def: 80
spd: 110
sandshrew
Types: ground
Stats:
hp: 50
atk: 75
def: 85
sp_atk: 20
sp_def: 30
spd: 40
sandslash
Types: ground
Stats:
hp: 75
atk: 100
def: 110
sp_atk: 45
sp_def: 55
spd: 65
nidoran-f
Types: poison
Stats:
hp: 55
atk: 47
def: 52
sp_atk: 40
sp_def: 40
spd: 41
nidorina
Types: poison
Stats:
hp: 70
atk: 62
def: 67
sp_atk: 55
sp_def: 55
spd: 56
nidoqueen
Types: poison / ground
Stats:
hp: 90
atk: 92
def: 87
sp_atk: 75
sp_def: 85
spd: 76
nidoran-m
Types: poison
Stats:
hp: 46
atk: 57
def: 40
sp_atk: 40
sp_def: 40
spd: 50
nidorino
Types: poison
Stats:
hp: 61
atk: 72
def: 57
sp_atk: 55
sp_def: 55
spd: 65
nidoking
Types: poison / ground
Stats:
hp: 81
atk: 102
def: 77
sp_atk: 85
sp_def: 75
spd: 85
clefairy
Types: fairy
Stats:
hp: 70
atk: 45
def: 48
sp_atk: 60
sp_def: 65
spd: 35
clefable
Types: fairy
Stats:
hp: 95
atk: 70
def: 73
sp_atk: 95
sp_def: 90
spd: 60
vulpix
Types: fire
Stats:
hp: 38
atk: 41
def: 40
sp_atk: 50
sp_def: 65
spd: 65
ninetales
Types: fire
Stats:
hp: 73
atk: 76
def: 75
sp_atk: 81
sp_def: 100
spd: 100
jigglypuff
Types: normal / fairy
Stats:
hp: 115
atk: 45
def: 20
sp_atk: 45
sp_def: 25
spd: 20
wigglytuff
Types: normal / fairy
Stats:
hp: 140
atk: 70
def: 45
sp_atk: 85
sp_def: 50
spd: 45
zubat
Types: poison / flying
Stats:
hp: 40
atk: 45
def: 35
sp_atk: 30
sp_def: 40
spd: 55
golbat
Types: poison / flying
Stats:
hp: 75
atk: 80
def: 70
sp_atk: 65
sp_def: 75
spd: 90
oddish
Types: grass / poison
Stats:
hp: 45
atk: 50
def: 55
sp_atk: 75
sp_def: 65
spd: 30
gloom
Types: grass / poison
Stats:
hp: 60
atk: 65
def: 70
sp_atk: 85
sp_def: 75
spd: 40
vileplume
Types: grass / poison
Stats:
hp: 75
atk: 80
def: 85
sp_atk: 110
sp_def: 90
spd: 50
paras
Types: bug / grass
Stats:
hp: 35
atk: 70
def: 55
sp_atk: 45
sp_def: 55
spd: 25
parasect
Types: bug / grass
Stats:
hp: 60
atk: 95
def: 80
sp_atk: 60
sp_def: 80
spd: 30
venonat
Types: bug / poison
Stats:
hp: 60
atk: 55
def: 50
sp_atk: 40
sp_def: 55
spd: 45
venomoth
Types: bug / poison
Stats:
hp: 70
atk: 65
def: 60
sp_atk: 90
sp_def: 75
spd: 90
diglett
Types: ground
Stats:
hp: 10
atk: 55
def: 25
sp_atk: 35
sp_def: 45
spd: 95
dugtrio
Types: ground
Stats:
hp: 35
atk: 100
def: 50
sp_atk: 50
sp_def: 70
spd: 120
meowth
Types: normal
Stats:
hp: 40
atk: 45
def: 35
sp_atk: 40
sp_def: 40
spd: 90
persian
Types: normal
Stats:
hp: 65
atk: 70
def: 60
sp_atk: 65
sp_def: 65
spd: 115
psyduck
Types: water
Stats:
hp: 50
atk: 52
def: 48
sp_atk: 65
sp_def: 50
spd: 55
golduck
Types: water
Stats:
hp: 80
atk: 82
def: 78
sp_atk: 95
sp_def: 80
spd: 85
mankey
Types: fighting
Stats:
hp: 40
atk: 80
def: 35
sp_atk: 35
sp_def: 45
spd: 70
primeape
Types: fighting
Stats:
hp: 65
atk: 105
def: 60
sp_atk: 60
sp_def: 70
spd: 95
growlithe
Types: fire
Stats:
hp: 55
atk: 70
def: 45
sp_atk: 70
sp_def: 50
spd: 60
arcanine
Types: fire
Stats:
hp: 90
atk: 110
def: 80
sp_atk: 100
sp_def: 80
spd: 95
poliwag
Types: water
Stats:
hp: 40
atk: 50
def: 40
sp_atk: 40
sp_def: 40
spd: 90
poliwhirl
Types: water
Stats:
hp: 65
atk: 65
def: 65
sp_atk: 50
sp_def: 50
spd: 90
poliwrath
Types: water / fighting
Stats:
hp: 90
atk: 95
def: 95
sp_atk: 70
sp_def: 90
spd: 70
abra
Types: psychic
Stats:
hp: 25
atk: 20
def: 15
sp_atk: 105
sp_def: 55
spd: 90
kadabra
Types: psychic
Stats:
hp: 40
atk: 35
def: 30
sp_atk: 120
sp_def: 70
spd: 105
alakazam
Types: psychic
Stats:
hp: 55
atk: 50
def: 45
sp_atk: 135
sp_def: 95
spd: 120
machop
Types: fighting
Stats:
hp: 70
atk: 80
def: 50
sp_atk: 35
sp_def: 35
spd: 35
machoke
Types: fighting
Stats:
hp: 80
atk: 100
def: 70
sp_atk: 50
sp_def: 60
spd: 45
machamp
Types: fighting
Stats:
hp: 90
atk: 130
def: 80
sp_atk: 65
sp_def: 85
spd: 55
bellsprout
Types: grass / poison
Stats:
hp: 50
atk: 75
def: 35
sp_atk: 70
sp_def: 30
spd: 40
weepinbell
Types: grass / poison
Stats:
hp: 65
atk: 90
def: 50
sp_atk: 85
sp_def: 45
spd: 55
victreebel
Types: grass / poison
Stats:
hp: 80
atk: 105
def: 65
sp_atk: 100
sp_def: 70
spd: 70
tentacool
Types: water / poison
Stats:
hp: 40
atk: 40
def: 35
sp_atk: 50
sp_def: 100
spd: 70
tentacruel
Types: water / poison
Stats:
hp: 80
atk: 70
def: 65
sp_atk: 80
sp_def: 120
spd: 100
geodude
Types: rock / ground
Stats:
hp: 40
atk: 80
def: 100
sp_atk: 30
sp_def: 30
spd: 20
graveler
Types: rock / ground
Stats:
hp: 55
atk: 95
def: 115
sp_atk: 45
sp_def: 45
spd: 35
golem
Types: rock / ground
Stats:
hp: 80
atk: 120
def: 130
sp_atk: 55
sp_def: 65
spd: 45
ponyta
Types: fire
Stats:
hp: 50
atk: 85
def: 55
sp_atk: 65
sp_def: 65
spd: 90
rapidash
Types: fire
Stats:
hp: 65
atk: 100
def: 70
sp_atk: 80
sp_def: 80
spd: 105
slowpoke
Types: water / psychic
Stats:
hp: 90
atk: 65
def: 65
sp_atk: 40
sp_def: 40
spd: 15
slowbro
Types: water / psychic
Stats:
hp: 95
atk: 75
def: 110
sp_atk: 100
sp_def: 80
spd: 30
magnemite
Types: electric / steel
Stats:
hp: 25
atk: 35
def: 70
sp_atk: 95
sp_def: 55
spd: 45
magneton
Types: electric / steel
Stats:
hp: 50
atk: 60
def: 95
sp_atk: 120
sp_def: 70
spd: 70
farfetchd
Types: normal / flying
Stats:
hp: 52
atk: 90
def: 55
sp_atk: 58
sp_def: 62
spd: 60
doduo
Types: normal / flying
Stats:
hp: 35
atk: 85
def: 45
sp_atk: 35
sp_def: 35
spd: 75
dodrio
Types: normal / flying
Stats:
hp: 60
atk: 110
def: 70
sp_atk: 60
sp_def: 60
spd: 110
seel
Types: water
Stats:
hp: 65
atk: 45
def: 55
sp_atk: 45
sp_def: 70
spd: 45
dewgong
Types: water / ice
Stats:
hp: 90
atk: 70
def: 80
sp_atk: 70
sp_def: 95
spd: 70
grimer
Types: poison
Stats:
hp: 80
atk: 80
def: 50
sp_atk: 40
sp_def: 50
spd: 25
muk
Types: poison
Stats:
hp: 105
atk: 105
def: 75
sp_atk: 65
sp_def: 100
spd: 50
shellder
Types: water
Stats:
hp: 30
atk: 65
def: 100
sp_atk: 45
sp_def: 25
spd: 40
cloyster
Types: water / ice
Stats:
hp: 50
atk: 95
def: 180
sp_atk: 85
sp_def: 45
spd: 70
gastly
Types: ghost / poison
Stats:
hp: 30
atk: 35
def: 30
sp_atk: 100
sp_def: 35
spd: 80
haunter
